河南酒店源,#genre#
江西卫视,http://107.150.60.122/live/jxwshd.m3u8
兵团卫视,http://107.150.60.122/live/btws.m3u8


大杂烩直播源,#genre#
辽宁都市,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=lnds
辽宁影视剧,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=lnys
辽宁体育,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=lnty
辽宁生活,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=lnsh
辽宁北方,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=lnbf

吉林都市,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=jlds
吉林生活,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=jlsh
广西影视,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=gxys
广西综艺,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=gxzy
广西都市,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=gxds
广西国际,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=gxgj

广东体育,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=gdty
广东珠江,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=gdzj
广东新闻,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=gdxw
CHC家庭影院,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=chcjt
CHC影迷电影,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=chchd
CHC动作电影,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=chcdz
重温经典,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cwjd
成龙轮播,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=lbcl
周润发轮播,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=lbzrf
周星驰轮播,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=lbzxc
林正英轮播,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=lblzy
邵氏电影,http://38.75.136.137:98/gslb/dsdqpub/lbssdy.m3u8?auth=testpub
邵氏武侠,http://38.75.136.137:98/gslb/dsdqpub/lbsswx.m3u8?auth=testpub
邵氏动作,http://38.75.136.137:98/gslb/dsdqpub/lbssdz.m3u8?auth=testpub
邵氏喜剧,http://38.75.136.137:98/gslb/dsdqpub/lbssxj.m3u8?auth=testpub

CCTV1,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv1hd
CCTV2,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv2hd
CCTV3,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv3hd
CCTV4,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv4hd
CCTV5,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv5hd
CCTV5+,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv5p
CCTV6,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv6hd
CCTV7,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv7hd
CCTV8,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv8hd
CCTV9,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv9hd
CCTV10,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv10hd
CCTV11,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv11hd
CCTV12,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv12hd
CCTV13,http://63.141.230.178:82/gslb/zbdq5.m3u8?id=cctv13hd
